THCIC_ID,PROVIDER_NAME,ZIP
100,Austin State Hospital,78751
101,Big Spring State Hospital,79702
102,UT Medical Branch Hospital,77550
104,Rio Grande State Center,78552
105,UT MD Anderson Cancer Center,77030
106,Kerrville State Hospital,78028
107,Rusk State Hospital,75785
108,Texas Center for Infectious Disease,78223
110,San Antonio State Hospital,78223
111,Terrell State Hospital,75160
112,UT Health Center-Tyler,75708
113,North Texas State Hospital-Vernon,76385
114,North Texas State Hospital,76308
115,Harris County Psychiatric Center,77021
117,Waco Center for Youth,76708
118,El Paso Psychiatric Center,79905
1000,Baptist St Anthonys Hospital,79106
2001,St Joseph Regional Health Center,77802
6000,Matagorda Regional Medical Center,77414
6001,Matagorda Regional Medical Center,77414
7000,Womans Hospital-Texas,77054
8001,Baylor Medical Center at Uptown,75204
10000,WJ Mangold Memorial Hospital,79241
13001,Grace Medical Center,79407
14000,Columbus Community Hospital,78934
16000,Anson General Hospital,79501
17000,Jackson County Hospital,77957
19000,Valley Regional Medical Center,78526
20000,Good Shepherd Medical Center-Marshall,75670
23000,Yoakum Community Hospital,77995
26000,Childress Regional Medical Center,79201
27000,Baylor Scott & White Medical Center-Garland,75042
28000,Kindred Hospital-Dallas,75231
29000,Good Shepherd Medical Center,75601
30000,United Memorial Medical Center,77091
31001,Allegiance Specialty Hospital-Kilgore,75662
34000,Palo Pinto General Hospital,76067
35000,St Davids Hospital,78705
38001,CHRISTUS Jasper Memorial Hospital,75951
40000,Providence Health Center,76712
41000,Madison St Joseph Health Center,77864
42000,Baylor Scott & White Medical Center Carrollton,75010
43000,Stamford Memorial Hospital,79553
44000,Baylor Scott & White Medical Center Taylor,76574
46000,Faith Community Hospital,76458
47000,Texas Health Huguley Hospital,76028
49000,Coleman County Medical Center,76834
52000,Limestone Medical Center,76642
54000,Texas Scottish Rite Hospital for Children,75219
56000,San Angelo Community Medical Center,76904
58000,Brownwood Regional Medical Center,76801
59000,Glen Rose Medical Center,76043
61000,Huntsville Memorial Hospital,77340
62000,Winkler County Memorial Hospital,79745
63000,Uvalde Memorial Hospital,78801
64000,Citizens Medical Center,77901
66000,Baylor Scott & White Hospital-Brenham,77833
70000,Goodall - Witcher Hospital,76634
71000,College Station Medical Center,77845
72000,Memorial Medical Center-San Augustine,75972
74000,Cuero Community Hospital,77954
75000,Mitchell County Hospital,79512
